~ Source:
~     https://en.wikipedia.org/wiki/List_of_colors:_A-F
~     https://en.wikipedia.org/wiki/List_of_colors:_G-M
~     https://en.wikipedia.org/wiki/List_of_colors:_N-Z
~
name	hex	r	g	b	hue	hsl_sat	hsl_light	hsv_sat	hsv_light
Dark Cornflower Blue	#26428B	15%	26%	55%	223°	57%	35%	73%	55%
Dark Coral	#CD5B45	80%	36%	27%	10°	58%	54%	66%	80%
Dark Cyan	#008B8B	0%	55%	55%	180°	100%	27%	100%	55%
Dark Electric Blue	#536878	33%	41%	47%	206°	18%	40%	31%	47%
Dark Goldenrod	#B8860B	72%	53%	4%	43°	89%	38%	94%	72%
Dark Gray (X11)	#A9A9A9	66%	66%	66%	—°	0%	66%	0%	66%
Dark Green	#013220	0%	20%	13%	158°	96%	10%	98%	20%
Dark Green (X11)	#006400	0%	39%	0%	120°	100%	20%	100%	39%
Dark Gunmetal	#1F262A	12%	15%	16%	202°	15%	14%	26%	16%
Dark Imperial Blue	#00416A	0%	25%	42%	203°	100%	21%	100%	42%
Dark Imperial Blue	#00147E	0%	8%	49%	231°	100%	25%	100%	40%
Dark Jungle Green	#1A2421	10%	14%	13%	162°	16%	12%	28%	14%
Dark Khaki	#BDB76B	74%	72%	42%	56°	38%	58%	43%	74%
Dark Lava	#483C32	28%	24%	20%	27°	18%	24%	31%	28%
Dark Lavender	#734F96	45%	31%	59%	270°	31%	45%	47%	59%
Dark Lemon Lime	#8BBE1B	55%	75%	11%	79°	75%	43%	86%	75%
Dark Liver	#534B4F	33%	29%	31%	330°	5%	31%	10%	33%
Dark Liver (Horses)	#543D37	33%	24%	22%	12°	21%	27%	35%	33%
Dark Magenta	#8B008B	55%	0%	55%	300°	100%	27%	100%	55%
Dark Medium Gray	#A9A9A9	66%	66%	66%	—°	0%	66%	0%	66%
Dark Midnight Blue	#003366	0%	20%	40%	210°	100%	20%	100%	40%
Dark Moss Green	#4A5D23	29%	36%	14%	80°	45%	25%	62%	36%
Dark Olive Green	#556B2F	33%	42%	18%	82°	39%	30%	56%	42%
Dark Orange	#FF8C00	100%	55%	0%	33°	100%	50%	100%	100%
Dark Orchid	#9932CC	60%	20%	80%	280°	61%	50%	75%	80%
Dark Pastel Blue	#779ECB	47%	62%	80%	212°	45%	63%	41%	80%
Dark Pastel Green	#03C03C	1%	75%	24%	138°	97%	38%	98%	75%
Dark Pastel Purple	#966FD6	59%	44%	84%	263°	56%	64%	48%	84%
Dark Pastel Red	#C23B22	76%	23%	13%	9°	70%	45%	82%	76%
Dark Pink	#E75480	91%	33%	50%	342°	75%	62%	64%	91%
Dark Powder Blue	#003399	0%	20%	60%	220°	100%	30%	100%	60%
Dark Puce	#4F3A3C	31%	23%	24%	354°	15%	27%	27%	31%
Dark Purple	#301934	19%	10%	20%	291°	35%	15%	51%	20%
Dark Raspberry	#872657	53%	15%	34%	330°	56%	34%	72%	53%
Dark Red	#8B0000	55%	0%	0%	0°	100%	27%	100%	55%
Dark Salmon	#E9967A	91%	59%	48%	15°	72%	70%	48%	91%
Dark Scarlet	#560319	34%	1%	10%	344°	93%	17%	97%	34%
Dark Sea Green	#8FBC8F	56%	74%	56%	120°	25%	65%	24%	74%
Dark Sienna	#3C1414	24%	8%	8%	0°	50%	16%	67%	24%
Dark Sky Blue	#8CBED6	55%	75%	84%	199°	47%	69%	35%	84%
Dark Slate Blue	#483D8B	28%	24%	55%	248°	39%	39%	56%	55%
Dark Slate Gray	#2F4F4F	18%	31%	31%	180°	25%	25%	41%	31%
Dark Spring Green	#177245	9%	45%	27%	150°	66%	27%	80%	45%
Dark Tan	#918151	57%	51%	32%	45°	28%	44%	44%	57%
Dark Tangerine	#FFA812	100%	66%	7%	38°	100%	54%	93%	100%
Dark Taupe	#483C32	28%	24%	20%	27°	18%	24%	31%	28%
Dark Terra Cotta	#CC4E5C	80%	31%	36%	353°	55%	55%	62%	80%
Dark Turquoise	#00CED1	0%	81%	82%	181°	100%	41%	100%	82%
Dark Vanilla	#D1BEA8	82%	75%	66%	32°	31%	74%	20%	82%
Dark Violet	#9400D3	58%	0%	83%	282°	100%	41%	100%	83%
Dark Yellow	#9B870C	61%	53%	5%	52°	86%	33%	92%	61%
Dartmouth Green	#00703C	0%	44%	24%	152°	100%	22%	100%	44%
Davy's Grey	#555555	33%	33%	33%	—°	0%	33%	0%	33%
Debian Red	#D70A53	84%	4%	33%	339°	91%	44%	95%	84%
Deep Amethyst	#9C8AA4	61%	54%	64%	282°	13%	59%	16%	16%
Deep Aquamarine	#40826D	25%	51%	43%	161°	34%	38%	51%	51%
Deep Carmine	#A9203E	66%	13%	24%	347°	68%	39%	81%	66%
Deep Carmine Pink	#EF3038	94%	19%	22%	357°	86%	56%	80%	94%
Deep Carrot Orange	#E9692C	91%	41%	17%	19°	81%	54%	81%	91%
Deep Cerise	#DA3287	85%	20%	53%	330°	69%	53%	77%	85%
Deep Champagne	#FAD6A5	98%	84%	65%	35°	90%	81%	34%	98%
Deep Chestnut	#B94E48	73%	31%	28%	3°	45%	50%	61%	73%
Deep Coffee	#704241	44%	26%	25%	1°	27%	35%	42%	44%
Deep Fuchsia	#C154C1	76%	33%	76%	300°	47%	54%	56%	76%
Deep Green	#056608	2%	40%	3%	122°	91%	21%	95%	40%
Deep Green-Cyan Turquoise	#0E7C61	5%	49%	38%	165°	80%	27%	89%	49%
Deep Jungle Green	#004B49	0%	29%	29%	178°	100%	15%	100%	29%
Deep Koamaru	#333366	20%	20%	40%	240°	33%	30%	50%	40%
Deep Lemon	#F5C71A	96%	78%	10%	47°	92%	53%	89%	96%
Deep Lilac	#9955BB	60%	33%	73%	280°	43%	53%	55%	73%
Deep Magenta	#CC00CC	80%	0%	80%	300°	100%	40%	100%	80%
Deep Maroon	#820000	51%	0%	0%	0°	100%	26%	100%	51%
Deep Mauve	#D473D4	83%	45%	83%	300°	53%	64%	46%	83%
Deep Moss Green	#355E3B	21%	37%	23%	129°	28%	29%	44%	37%
Deep Peach	#FFCBA4	100%	80%	64%	26°	100%	82%	36%	100%
Deep Pink	#FF1493	100%	8%	58%	328°	100%	54%	92%	100%
Deep Puce	#A95C68	66%	36%	41%	351°	31%	51%	46%	66%
Deep Red	#850101	52%	0%	0%	0°	99%	26%	99%	52%
Deep Ruby	#843F5B	52%	25%	36%	336°	35%	38%	52%	52%
Deep Saffron	#FF9933	100%	60%	20%	30°	100%	60%	80%	100%
Deep Sky Blue	#00BFFF	0%	75%	100%	195°	100%	50%	100%	100%
Deep Space Sparkle	#4A646C	29%	39%	42%	194°	19%	36%	31%	42%
Deep Spring Bud	#556B2F	33%	42%	18%	82°	39%	30%	56%	42%
Deep Taupe	#7E5E60	49%	37%	38%	356°	15%	43%	25%	49%
Deep Tuscan Red	#66424D	40%	26%	30%	342°	21%	33%	35%	40%
Deep Violet	#330066	20%	0%	40%	270°	100%	20%	100%	40%
Deer	#BA8759	73%	53%	35%	28°	41%	54%	52%	73%
Denim	#1560BD	8%	38%	74%	213°	80%	41%	89%	74%
Denim Blue	#2243B6	13%	26%	71%	227°	69%	42%	81%	71%
Desaturated Cyan	#669999	40%	60%	60%	180°	20%	50%	33%	60%
Desert	#C19A6B	76%	60%	42%	33°	41%	59%	45%	76%
Desert Sand	#EDC9AF	93%	79%	69%	25°	63%	81%	26%	93%
Desire	#EA3C53	92%	24%	33%	352°	81%	58%	74%	92%
Diamond	#B9F2FF	73%	95%	100%	191°	100%	86%	27%	100%
Dim Gray	#696969	41%	41%	41%	—°	0%	41%	0%	41%
Dingy Dungeon	#C53151	77%	19%	32%	347°	60%	48%	75%	77%
Dirt	#9B7653	61%	46%	33%	29°	30%	47%	46%	61%
Dirty Brown	#B5651E	71%	40%	12%	28°	72%	41%	83%	71%
Dirty White	#E8E4C9	91%	89%	79%	52°	40%	85%	13%	91%
Dodger Blue	#1E90FF	12%	56%	100%	210°	100%	56%	88%	100%
Dodie Yellow	#FEF65B	100%	96%	36%	57°	99%	68%	64%	100%
Dogwood Rose	#D71868	84%	9%	41%	335°	80%	47%	89%	84%
Dollar Bill	#85BB65	52%	73%	40%	98°	39%	56%	46%	73%
Dolphin Gray	#828E84	51%	56%	52%	130°	5%	53%	8%	56%
Donkey Brown	#664C28	40%	30%	16%	35°	44%	28%	61%	40%
Drab	#967117	59%	44%	9%	43°	73%	34%	85%	59%
Duke Blue	#00009C	0%	0%	61%	240°	100%	31%	100%	61%
Dust Storm	#E5CCC9	90%	80%	79%	6°	35%	84%	12%	90%
Dutch White	#EFDFBB	94%	87%	73%	42°	62%	84%	22%	94%
Earth Yellow	#E1A95F	88%	66%	37%	34°	68%	63%	58%	88%
Ebony	#555D50	33%	36%	31%	97°	8%	34%	14%	36%
Ecru	#C2B280	76%	70%	50%	45°	35%	63%	34%	76%
Eerie Black	#1B1B1B	11%	11%	11%	—°	0%	11%	0%	11%
Eggplant	#614051	38%	25%	32%	329°	20%	32%	34%	38%
Eggshell	#F0EAD6	94%	92%	84%	46°	46%	89%	11%	94%
Egyptian Blue	#1034A6	6%	20%	65%	226°	82%	36%	90%	65%
Electric Blue	#7DF9FF	49%	98%	100%	183°	100%	75%	51%	100%
Electric Crimson	#FF003F	100%	0%	25%	345°	100%	50%	100%	100%
Electric Cyan	#00FFFF	0%	100%	100%	180°	100%	50%	100%	100%
Electric Green	#00FF00	0%	100%	0%	120°	100%	50%	100%	100%
Electric Indigo	#6F00FF	44%	0%	100%	266°	100%	50%	100%	100%
Electric Lavender	#F4BBFF	96%	73%	100%	290°	100%	87%	27%	100%
Electric Lime	#CCFF00	80%	100%	0%	72°	100%	50%	100%	100%
Electric Purple	#BF00FF	75%	0%	100%	285°	100%	50%	100%	100%
Electric Ultramarine	#3F00FF	25%	0%	100%	255°	100%	50%	100%	100%
Electric Violet	#8F00FF	56%	0%	100%	274°	100%	50%	100%	100%
Electric Yellow	#FFFF33	100%	100%	20%	60°	100%	60%	80%	100%
Emerald	#50C878	31%	78%	47%	140°	52%	55%	60%	78%
Emerald Green	#046307	2%	39%	3%	122°	92%	20%	96%	39%
Eminence	#6C3082	42%	19%	51%	284°	46%	35%	63%	51%
English Green	#1B4D3E	11%	30%	24%	162°	48%	20%	65%	30%
English Lavender	#B48395	71%	51%	58%	338°	25%	61%	27%	71%
English Red	#AB4B52	67%	29%	32%	356°	39%	48%	56%	67%
English Vermillion	#CC474B	80%	28%	29%	358°	57%	54%	65%	80%
English Violet	#563C5C	34%	24%	36%	289°	21%	30%	35%	36%
Eton Blue	#96C8A2	59%	78%	64%	134°	31%	69%	25%	78%
Eucalyptus	#44D7A8	27%	84%	66%	161°	65%	55%	68%	84%
Fallow	#C19A6B	76%	60%	42%	33°	41%	59%	45%	76%
Falu Red	#801818	50%	9%	9%	0°	68%	30%	81%	50%
Fandango	#B53389	71%	20%	54%	320°	56%	45%	72%	71%
Fandango Pink	#DE5285	87%	32%	52%	338°	68%	60%	63%	87%
Fashion Fuchsia	#F400A1	96%	0%	63%	320°	100%	48%	100%	96%
Fawn	#E5AA70	90%	67%	44%	30°	69%	67%	51%	90%
Feldgrau	#4D5D53	30%	36%	33%	143°	9%	33%	17%	36%
Feldspar	#FDD5B1	99%	84%	69%	28°	95%	84%	30%	99%
Fern Green	#4F7942	31%	47%	26%	106°	29%	37%	45%	47%
Ferrari Red	#FF2800	100%	16%	0%	9°	100%	50%	100%	100%
Field Drab	#6C541E	42%	33%	12%	42°	57%	27%	72%	42%
Fiery Rose	#FF5470	100%	33%	44%	350°	100%	67%	67%	100%
Firebrick	#B22222	70%	13%	13%	0°	68%	42%	81%	70%
Fire Engine Red	#CE2029	81%	13%	16%	357°	73%	47%	84%	81%
Fire Opal	#E95C4B	91%	36%	29%	6°	78%	60%	68%	91%
Flame	#E25822	89%	35%	13%	17°	77%	51%	85%	89%
Flamingo Pink	#FC8EAC	99%	56%	67%	344°	95%	77%	44%	99%
Flattery	#6B4423	42%	27%	14%	28°	51%	28%	67%	42%
Flavescent	#F7E98E	97%	91%	56%	52°	87%	76%	43%	97%
Flax	#EEDC82	93%	86%	51%	50°	76%	72%	45%	93%
Flesh	#FFE9D1	100%	91%	82%	31°	100%	91%	18%	100%
Flirt	#A2006D	64%	0%	43%	320°	100%	32%	100%	64%
Floral White	#FFFAF0	100%	98%	94%	40°	100%	97%	6%	100%
Fluorescent Blue	#15F4EE	8%	96%	93%	178°	91%	52%	91%	96%
Fluorescent Orange	#FFBF00	100%	75%	0%	45°	100%	50%	100%	100%
Fluorescent Pink	#FF1493	100%	8%	58%	328°	100%	54%	92%	100%
Fluorescent Yellow	#CCFF00	80%	100%	0%	72°	100%	50%	100%	100%
Folly	#FF004F	100%	0%	31%	341°	100%	50%	100%	100%
Forest Green (Traditional)	#014421	0%	27%	13%	149°	97%	14%	99%	27%
Forest Green (Web)	#228B22	13%	55%	13%	120°	61%	34%	76%	55%
French Beige	#A67B5B	65%	48%	36%	26°	30%	50%	45%	65%
French Bistre	#856D4D	52%	43%	30%	34°	27%	41%	42%	52%
French Blue	#0072BB	0%	45%	73%	203°	100%	37%	100%	73%
French Fuchsia	#FD3F92	99%	25%	57%	334°	98%	62%	75%	99%
French Lilac	#86608E	53%	38%	56%	290°	19%	47%	32%	56%
French Lime	#9EFD38	62%	99%	22%	89°	98%	61%	78%	99%
French Mauve	#D473D4	83%	45%	83%	300°	53%	64%	46%	83%
French Pink	#FD6C9E	99%	42%	62%	339°	97%	71%	57%	99%
French Plum	#811453	51%	8%	33%	325°	73%	29%	84%	51%
French Puce	#4E1609	31%	9%	4%	11°	79%	17%	88%	31%
French Raspberry	#C72C48	78%	17%	28%	349°	64%	48%	78%	78%
French Rose	#F64A8A	96%	29%	54%	338°	91%	63%	70%	96%
French Sky Blue	#77B5FE	47%	71%	100%	212°	99%	73%	53%	100%
French Violet	#8806CE	53%	2%	81%	279°	94%	42%	97%	81%
French Wine	#AC1E44	67%	12%	27%	344°	70%	40%	83%	67%
Fresh Air	#A6E7FF	65%	91%	100%	196°	100%	83%	35%	100%
Frostbite	#E936A7	91%	21%	65%	322°	80%	56%	77%	91%
Fuchsia	#FF00FF	100%	0%	100%	300°	100%	50%	100%	100%
Fuchsia (Crayola)	#C154C1	76%	33%	76%	300°	47%	54%	56%	76%
Fuchsia Pink	#FF77FF	100%	47%	100%	300°	100%	73%	53%	100%
Fuchsia Purple	#CC397B	80%	22%	48%	333°	59%	51%	72%	80%
Fuchsia Rose	#C74375	78%	26%	46%	337°	54%	52%	66%	78%
Fulvous	#E48400	89%	52%	0%	35°	100%	45%	100%	89%
Fuzzy Wuzzy	#CC6666	80%	40%	40%	0°	50%	60%	50%	80%
Gainsboro	#DCDCDC	86%	86%	86%	0°	0%	86%	0%	86%
Gamboge	#E49B0F	89%	61%	6%	39°	88%	48%	93%	89%
Gamboge Orange (Brown)	#996600	60%	40%	0%	40°	100%	30%	100%	60%
Garnet	#733635	45%	21%	21%	1°	37%	33%	54%	45%
Gargoyle Gas	#FFDF46	100%	87%	27%	50°	100%	64%	73%	100%
Generic Viridian	#007F66	0%	50%	40%	168°	100%	25%	100%	50%
Ghost White	#F8F8FF	97%	97%	100%	240°	100%	99%	3%	100%
Giant's Club	#B05C52	69%	36%	32%	6°	37%	51%	53%	69%
Giants Orange	#FE5A1D	100%	35%	11%	16°	99%	55%	89%	100%
Glaucous	#6082B6	38%	51%	71%	216°	37%	55%	47%	71%
Glossy Grape	#AB92B3	67%	57%	70%	285°	18%	64%	18%	70%
GO Green	#00AB66	0%	67%	40%	156°	100%	34%	100%	67%
Gold	#A57C00	65%	49%	0%	46°	100%	32%	100%	65%
Gold (Metallic)	#D4AF37	83%	69%	22%	46°	65%	52%	74%	83%
Gold (Web) (Golden)	#FFD700	100%	84%	0%	51°	100%	50%	100%	100%
Gold (Crayola)	#E6BE8A	90%	75%	54%	34°	65%	72%	40%	90%
Gold Fusion	#85754E	52%	46%	31%	43°	26%	41%	41%	52%
Gold Foil	#BD9B16	74%	61%	9%	48°	79%	41%	88%	74%
Golden Brown	#996515	60%	40%	8%	36°	76%	34%	86%	60%
Golden Poppy	#FCC200	99%	76%	0%	46°	100%	49%	100%	99%
Golden Yellow	#FFDF00	100%	87%	0%	52°	100%	50%	100%	100%
Goldenrod	#DAA520	85%	65%	13%	43°	74%	49%	85%	85%
Granite Gray	#676767	40%	40%	40%	0°	0%	40%	0%	40%
Granny Smith Apple	#A8E4A0	66%	89%	63%	113°	56%	76%	30%	89%
Grape	#6F2DA8	44%	18%	66%	272°	58%	42%	73%	66%
Gray (HTML/CSS Gray)	#808080	50%	50%	50%	0°	0%	50%	0%	50%
Gray (X11 Gray)	#BEBEBE	75%	75%	75%	0°	0%	75%	0%	75%
Gray-Asparagus	#465945	27%	35%	27%	117°	13%	31%	22%	35%
Gray-Blue	#8C92AC	55%	57%	67%	229°	16%	61%	19%	67%
Green	#008001	0%	50%	0%	120°	100%	25%	100%	50%
Green (Color Wheel) (X11 Green)	#00FF00	0%	100%	0%	120°	100%	50%	100%	100%
Green (Crayola)	#1CAC78	11%	67%	47%	158°	72%	39%	84%	67%
Green (HTML/CSS Color)	#008000	0%	50%	0%	120°	100%	25%	100%	50%
Green (Munsell)	#00A877	0%	66%	47%	163°	100%	33%	100%	66%
Green (NCS)	#009F6B	0%	62%	42%	160°	100%	31%	100%	62%
Green (Pantone)	#00AD43	0%	68%	26%	143°	100%	34%	100%	68%
Green (Pigment)	#00A550	0%	65%	31%	149°	100%	32%	100%	65%
Green (RYB)	#66B032	40%	69%	20%	95°	56%	44%	72%	69%
Green-Blue	#1164B4	7%	39%	71%	209°	83%	39%	91%	71%
Green-Cyan	#009966	0%	60%	40%	160°	100%	30%	100%	60%
Green Lizard	#A7F432	65%	96%	20%	84°	90%	58%	80%	96%
Green Sheen	#6EAEA1	43%	68%	63%	168°	28%	56%	37%	68%
Green-Yellow	#ADFF2F	68%	100%	18%	84°	100%	59%	82%	100%
Grullo	#A99A86	66%	60%	53%	34°	17%	59%	21%	66%
Guppie Green	#00FF7F	0%	100%	50%	150°	100%	50%	100%	100%
Gunmetal	#2a3439	16%	20%	22%	200°	15%	19%	15%	19%
Halayà Úbe	#663854	40%	22%	33%	323°	29%	31%	45%	40%
Halloween Orange	#EB6123	92%	38%	14%	19°	83%	53%	85%	92%
Han Blue	#446CCF	27%	42%	81%	223°	59%	54%	67%	81%
Han Purple	#5218FA	32%	9%	98%	255°	96%	54%	90%	98%
Hansa Yellow	#E9D66B	91%	84%	42%	51°	74%	67%	54%	91%
Harlequin	#3FFF00	25%	100%	0%	105°	100%	50%	100%	100%
Harlequin Green	#46CB18	27%	80%	9%	105°	79%	45%	88%	80%
Harvard Crimson	#C90016	79%	0%	9%	353°	100%	39%	100%	79%
Harvest Gold	#DA9100	85%	57%	0%	40°	100%	43%	100%	85%
Heart Gold	#808000	50%	50%	0%	60°	100%	25%	100%	50%
Heat Wave	#FF7A00	100%	48%	0%	29°	100%	50%	100%	100%
Heidelberg Red[2]	#960018	59%	0%	9%	10°	100%	29%	100%	60%
Heliotrope	#DF73FF	87%	45%	100%	286°	100%	73%	55%	100%
Heliotrope Gray	#AA98A9	67%	60%	66%	303°	10%	63%	11%	67%
Heliotrope Magenta	#AA00BB	67%	0%	73%	295°	100%	37%	100%	73%
Hollywood Cerise	#F400A1	96%	0%	63%	320°	100%	48%	100%	96%
Honeydew	#F0FFF0	94%	100%	94%	120°	100%	97%	6%	100%
Honolulu Blue	#006DB0	0%	43%	69%	203°	100%	35%	100%	69%
Hooker's Green	#49796B	29%	47%	42%	163°	25%	38%	40%	47%
Hot Magenta	#FF1DCE	100%	11%	81%	313°	100%	56%	89%	100%
Hot Pink	#FF69B4	100%	41%	71%	330°	100%	71%	59%	100%
Hunter Green	#355E3B	21%	37%	23%	129°	28%	29%	44%	37%
Iceberg	#71A6D2	44%	65%	82%	207°	52%	63%	46%	82%
Icterine	#FCF75E	99%	97%	37%	58°	96%	68%	63%	99%
Iguana Green	#71BC78	44%	74%	47%	126°	36%	59%	40%	74%
Illuminating Emerald	#319177	19%	57%	47%	164°	49%	38%	66%	57%
Imperial	#602F6B	38%	18%	42%	289°	39%	30%	56%	42%
Imperial Blue	#002395	0%	14%	58%	226°	100%	29%	100%	58%
Imperial Purple	#66023C	40%	1%	24%	325°	96%	20%	98%	40%
Imperial Red	#ED2939	93%	16%	22%	355°	84%	55%	83%	93%
Inchworm	#B2EC5D	70%	93%	36%	84°	79%	65%	61%	93%
Independence	#4C516D	30%	32%	43%	231°	18%	36%	30%	43%
India Green	#138808	7%	53%	3%	115°	89%	28%	94%	53%
Indian Red	#CD5C5C	80%	36%	36%	0°	53%	58%	55%	80%
Indian Yellow	#E3A857	89%	66%	34%	35°	71%	62%	62%	89%
Indigo	#4B0082	29%	0%	51%	266°	100%	26%	100%	100%
Indigo Dye	#091F92	4%	12%	57%	230°	88%	30%	94%	57%
Indigo (Rainbow)	#233067	14%	19%	40%	230°	49%	27%	60%	40%
Indigo (Web)	#4B0082	29%	0%	51%	275°	100%	25%	100%	51%
Infra Red	#FF496C	100%	29%	42%	348°	100%	64%	71%	100%
Interdimensional Blue	#360CCC	21%	5%	80%	253°	89%	42%	94%	80%
International Klein Blue	#002FA7	0%	18%	65%	223°	100%	33%	100%	65%
International Orange (Aerospace)	#FF4F00	100%	31%	0%	19°	100%	50%	100%	100%
International Orange (Engineering)	#BA160C	73%	9%	5%	3°	88%	39%	94%	73%
International Orange (Golden Gate Bridge)	#C0362C	75%	21%	17%	4°	63%	46%	77%	75%
Iris	#5A4FCF	35%	31%	81%	245°	57%	56%	62%	81%
Irresistible	#B3446C	70%	27%	42%	338°	45%	48%	62%	70%
Isabelline	#F4F0EC	96%	94%	93%	30°	27%	94%	3%	96%
Islamic Green	#009000	0%	56%	0%	120°	100%	28%	100%	56%
Italian Sky Blue	#B2FFFF	70%	100%	100%	180°	100%	85%	30%	100%
Ivory	#FFFFF0	100%	100%	94%	60°	100%	97%	6%	100%
Jacarta	#3D325D	24%	20%	36%	255°	30%	28%	46%	36%
Jacko Bean	#413628	25%	21%	16%	34°	24%	21%	38%	25%
Jade	#00A86B	0%	66%	42%	158°	100%	33%	100%	66%
Japanese Carmine	#9D2933	62%	16%	20%	355°	59%	39%	74%	62%
Japanese Indigo	#264348	15%	26%	28%	189°	31%	22%	47%	28%
Japanese Laurel	#2F7532	18%	46%	20%	123°	43%	32%	60%	46%
Japanese Violet	#5B3256	36%	20%	34%	307°	29%	28%	45%	36%
Jasmine	#F8DE7E	97%	87%	49%	47°	90%	73%	49%	97%
Jasper	#D73B3E	84%	23%	24%	359°	66%	54%	73%	84%
Jasper Orange	#DE8F4E	87%	57%	31%	27°	69%	59%	65%	87%
Jazzberry Jam	#A50B5E	65%	4%	37%	328°	88%	35%	93%	65%
Jelly Bean	#DA614E	85%	38%	31%	8°	65%	58%	64%	85%
Jelly Bean Blue	#44798E	27%	47%	56%	197°	35%	41%	52%	56%
Jet	#343434	20%	20%	20%	0°	0%	20%	0%	20%
Jet Stream	#BBD0C9	73%	82%	79%	160°	18%	78%	10%	82%
Jonquil	#F4CA16	96%	79%	9%	49°	91%	52%	91%	96%
Jordy Blue	#8AB9F1	54%	73%	95%	213°	79%	74%	43%	95%
June Bud	#BDDA57	74%	85%	34%	73°	64%	60%	60%	85%
Jungle Green	#29AB87	16%	67%	53%	163°	61%	42%	76%	67%
Kelly Green	#4CBB17	30%	73%	9%	101°	78%	41%	88%	73%
Kenyan Copper	#7C1C05	49%	11%	2%	12°	92%	25%	96%	49%
Keppel	#3AB09E	23%	69%	62%	171°	50%	46%	67%	69%
Key Lime	#E8F48C	91%	96%	55%	67°	83%	75%	43%	96%
Khaki (HTML/CSS) (Khaki)	#C3B091	76%	69%	57%	37°	29%	67%	26%	76%
Khaki (X11) (Light Khaki)	#F0E68C	94%	90%	55%	54°	77%	75%	42%	94%
Kiwi	#8EE53F	56%	90%	25%	91°	76%	57%	72%	90%
Kobe	#882D17	53%	18%	9%	12°	71%	31%	83%	53%
Kobi	#E79FC4	91%	62%	77%	329°	60%	76%	31%	91%
Kobicha	#6B4423	42%	27%	14%	28°	51%	28%	67%	42%
Kombu Green	#354230	21%	26%	19%	103°	16%	22%	27%	26%
KSU Purple	#512888	31%	15%	51%	266°	55%	33%	71%	53%
KU Crimson	#E8000D	91%	0%	5%	357°	100%	45%	100%	91%
La Salle Green	#087830	3%	47%	19%	141°	88%	25%	93%	47%
Languid Lavender	#D6CADD	84%	79%	87%	278°	22%	83%	9%	87%
Lapis Lazuli	#26619C	15%	38%	61%	210°	61%	38%	76%	61%
Laser Lemon	#FFFF66	100%	100%	40%	60°	100%	70%	60%	100%
Laurel Green	#A9BA9D	66%	73%	62%	95°	17%	67%	16%	73%
Lava	#CF1020	81%	6%	13%	355°	86%	44%	92%	81%
Lavender (Floral)	#B57EDC	71%	49%	86%	275°	57%	68%	43%	86%
Lavender (Web)	#E6E6FA	90%	90%	98%	240°	67%	94%	8%	98%
Lavender Blue	#CCCCFF	80%	80%	100%	240°	100%	90%	20%	100%
Lavender Blush	#FFF0F5	100%	94%	96%	340°	100%	97%	6%	100%
Lavender Gray	#C4C3D0	77%	76%	82%	245°	12%	79%	6%	82%
Lavender Indigo	#9457EB	58%	34%	92%	265°	79%	63%	63%	92%
Lavender Magenta	#EE82EE	93%	51%	93%	300°	76%	72%	45%	93%
Lavender Mist	#E6E6FA	90%	90%	98%	240°	67%	94%	8%	98%
Lavender Pink	#FBAED2	98%	68%	82%	332°	91%	83%	31%	98%
Lavender Purple	#967BB6	59%	48%	71%	267°	29%	60%	32%	71%
Lavender Rose	#FBA0E3	98%	63%	89%	316°	92%	81%	36%	98%
Lawn Green	#7CFC00	49%	99%	0%	90°	100%	49%	100%	99%
Lemon	#FFF700	100%	97%	0%	58°	100%	50%	100%	100%
Lemon Chiffon	#FFFACD	100%	98%	80%	54°	100%	90%	20%	100%
Lemon Curry	#CCA01D	80%	63%	11%	45°	75%	46%	86%	80%
Lemon Glacier	#FDFF00	99%	100%	0%	60°	100%	50%	100%	100%
Lemon Meringue	#F6EABE	96%	92%	75%	47°	76%	85%	23%	96%
Lemon Yellow	#FFF44F	100%	96%	31%	56°	100%	65%	69%	100%
Lemon Yellow (Crayola)	#FFFF9F	100%	100%	62%	60°	100%	81%	38%	100%
Lenurple	#BA93D8	73%	58%	85%	274°	47%	71%	32%	85%
Liberty	#545AA7	33%	35%	65%	236°	33%	49%	50%	65%
Licorice	#1A1110	10%	7%	6%	6°	24%	8%	38%	10%
Light Apricot	#FDD5B1	99%	84%	69%	28°	95%	84%	30%	99%
Light Blue	#ADD8E6	68%	85%	90%	195°	53%	79%	25%	90%
Light Brown	#B5651D	71%	40%	11%	28°	72%	41%	84%	71%
Light Carmine Pink	#E66771	90%	40%	44%	355°	72%	65%	55%	90%
Light Cobalt Blue	#88ACE0	53%	67%	88%	215°	59%	71%	39%	88%
Light Coral	#F08080	94%	50%	50%	0°	79%	72%	47%	94%
Light Cornflower Blue	#93CCEA	58%	80%	92%	201°	67%	75%	37%	92%
Light Crimson	#F56991	96%	41%	57%	343°	88%	69%	57%	96%
Light Cyan	#E0FFFF	88%	100%	100%	180°	100%	94%	12%	100%
Light Deep Pink	#FF5CCD	100%	36%	80%	318°	100%	68%	64%	100%
Light French Beige	#C8AD7F	78%	68%	50%	38°	40%	64%	37%	78%
Light Fuchsia Pink	#F984EF	98%	52%	94%	305°	91%	75%	47%	98%
Light Gold	#B29700	70%	59%	0%	52°	100%	35%	100%	70%
Light Goldenrod Yellow	#FAFAD2	98%	98%	82%	60°	80%	90%	16%	98%
Light Gray	#D3D3D3	83%	83%	83%	0°	0%	83%	0%	83%
