~ Source:
~     https://en.wikipedia.org/wiki/List_of_colors:_A-F
~     https://en.wikipedia.org/wiki/List_of_colors:_G-M
~     https://en.wikipedia.org/wiki/List_of_colors:_N-Z
~
name	hex	r	g	b	hue	hsl_sat	hsl_light	hsv_sat	hsv_light
White	#FFFFFF	100%	100%	100%	60°	0%	100%	0%	100%
White Chocolate	#EDE6D6	93%	90%	84%	42°	39%	88%	10%	93%
White Coffee	#E6E0D4	90%	88%	83%	40°	27%	87%	8%	90%
White Smoke	#F5F5F5	96%	96%	96%	240°	0%	96%	0%	96%
Wild Blue Yonder	#A2ADD0	64%	68%	82%	226°	33%	73%	22%	82%
Wild Orchid	#D470A2	83%	44%	64%	330°	54%	64%	47%	83%
Wild Strawberry	#FF43A4	100%	26%	64%	329°	100%	63%	74%	100%
Wild Watermelon	#FC6C85	99%	42%	52%	350°	96%	71%	57%	99%
Willpower Orange	#FD5800	99%	35%	0%	21°	100%	50%	100%	99%
Windsor Tan	#A75502	65%	33%	1%	30°	98%	33%	99%	65%
Wine	#722F37	45%	18%	22%	353°	42%	32%	59%	45%
Wine Red	#B11226	69%	7%	15%	352°	82%	38%	90%	69%
Wine Dregs	#673147	40%	19%	28%	336°	36%	30%	52%	40%
Winter Sky	#FF007C	100%	0%	49%	331°	100%	50%	100%	100%
Winter Wizard	#A0E6FF	63%	90%	100%	196°	100%	81%	37%	100%
Wintergreen Dream	#56887D	34%	53%	49%	167°	23%	44%	37%	53%
Wisteria	#C9A0DC	79%	63%	86%	281°	46%	75%	27%	86%
Wood Brown	#C19A6B	76%	60%	42%	33°	41%	59%	45%	76%
Xanadu	#738678	45%	53%	47%	136°	8%	49%	14%	53%
Yale Blue	#0F4D92	6%	30%	57%	212°	81%	32%	90%	57%
Yankees Blue	#1C2841	11%	16%	25%	221°	40%	18%	57%	25%
Yellow	#FFFF00	100%	100%	0%	60°	100%	50%	100%	100%
Yellow (Crayola)	#FCE883	99%	91%	51%	50°	95%	75%	48%	99%
Yellow (Munsell)	#EFCC00	94%	80%	0%	51°	100%	47%	100%	94%
Yellow (NCS)	#FFD300	100%	83%	0%	50°	100%	50%	100%	100%
Yellow (Pantone)	#FEDF00	100%	87%	0%	53°	100%	50%	100%	100%
Yellow (Process)	#FFEF00	100%	94%	0%	56°	100%	50%	100%	100%
Yellow (RYB)	#FEFE33	100%	100%	20%	60°	99%	60%	80%	100%
Yellow-Green	#9ACD32	60%	80%	20%	80°	61%	50%	76%	80%
Yellow Orange	#FFAE42	100%	68%	26%	34°	100%	63%	74%	100%
Yellow Rose	#FFF000	100%	94%	0%	56°	100%	50%	100%	100%
Yellow Sunshine	#FFF700	100%	97%	0%	58°	100%	50%	100%	100%
YInMn Blue	#2E5090	18%	31%	56%	219°	52%	37%	68%	56%
Zaffre	#0014A8	0%	8%	66%	233°	100%	33%	100%	66%
Zinnwaldite Brown	#2C1608	17%	9%	3%	23°	69%	10%	82%	17%
Zomp	#39A78E	22%	65%	56%	166°	49%	44%	66%	65%
